plot	type	id	true_y	Observer	measure
bar_5	bar	C	0.00000208	Yanchao	0.00000207018
bar_5	bar	D	0.0000051	Yanchao	0.00000512281
bar_5	bar	E	0.00000423	Yanchao	0.00000424561
scatter_1	scatter	1	0.0000459	Yanchao	0.0000461538
scatter_1	scatter	2	0.0000646	Yanchao	0.0000645299
scatter_1	scatter	3	0.0000977	Yanchao	0.0000978632
scatter_1	scatter	4	0.000059	Yanchao	0.0000594017
scatter_1	scatter	5	0.0000285	Yanchao	0.0000286325
scatter_1	scatter	6	0.0000641	Yanchao	0.0000641026
scatter_1	scatter	7	0.000104	Yanchao	0.000103846
scatter_1	scatter	8	0.0000421	Yanchao	0.0000423077
scatter_1	scatter	9	0.0000908	Yanchao	0.0000905983
scatter_1	scatter	10	0.0000415	Yanchao	0.0000418803
scatter_1	scatter	11	0.0000298	Yanchao	0.0000299145
scatter_2	scatter	1	0.0000305	Yanchao	0.0000304626
scatter_2	scatter	2	0.0000182	Yanchao	0.0000182206
scatter_2	scatter	3	0.0000275	Yanchao	0.0000276157
scatter_2	scatter	4	0.00000912	Yanchao	0.00000911032
scatter_2	scatter	5	0.0000718	Yanchao	0.0000717438
scatter_2	scatter	6	0.0000595	Yanchao	0.0000595018
scatter_2	scatter	7	0.0000135	Yanchao	0.0000136655
scatter_2	scatter	8	0.0000637	Yanchao	0.0000637722
scatter_2	scatter	9	0.0000435	Yanchao	0.0000435587
scatter_2	scatter	10	0.000035	Yanchao	0.0000350178
scatter_2	scatter	11	0.0000123	Yanchao	0.0000125267
scatter_2	scatter	12	0.0000439	Yanchao	0.0000438434
scatter_3	scatter	1	0.000027	Yanchao	0.0000270463
scatter_3	scatter	2	0.0000243	Yanchao	0.0000243772
scatter_3	scatter	3	0.0000114	Yanchao	0.0000113879
scatter_3	scatter	4	0.000011	Yanchao	0.000011032
scatter_3	scatter	5	0.000025	Yanchao	0.000025089
scatter_3	scatter	6	0.0000426	Yanchao	0.0000427046
scatter_3	scatter	7	0.0000184	Yanchao	0.0000185053
scatter_3	scatter	8	0.0000125	Yanchao	0.0000126335
scatter_3	scatter	9	0.0000158	Yanchao	0.0000158363
scatter_3	scatter	10	0.0000262	Yanchao	0.0000263345
scatter_3	scatter	11	0.00000586	Yanchao	0.00000587189
scatter_3	scatter	12	0.000037	Yanchao	0.0000370107
scatter_3	scatter	13	0.00000941	Yanchao	0.0000094306
scatter_4	scatter	1	0.0000179	Yanchao	0.0000178958
scatter_4	scatter	2	0.0000202	Yanchao	0.0000201586
scatter_4	scatter	3	0.00000596	Yanchao	0.00000602925
scatter_4	scatter	4	0.0000105	Yanchao	0.0000105421
scatter_4	scatter	5	0.0000257	Yanchao	0.0000257695
scatter_4	scatter	6	0.000015	Yanchao	0.0000150682
scatter_4	scatter	7	0.00000625	Yanchao	0.0000061884
scatter_4	scatter	8	0.0000239	Yanchao	0.0000239868
scatter_4	scatter	9	0.00000792	Yanchao	0.000008036
scatter_4	scatter	10	0.0000252	Yanchao	0.0000252987
scatter_4	scatter	11	0.0000243	Yanchao	0.0000243477
scatter_4	scatter	12	0.00000627	Yanchao	0.00000636084
scatter_5	scatter	1	0.00000209	Yanchao	0.00000209964
scatter_5	scatter	2	0.00000808	Yanchao	0.00000807829
scatter_5	scatter	3	0.00000369	Yanchao	0.00000370107
scatter_5	scatter	4	0.00000355	Yanchao	0.00000355872
